"","Transitions","bodySize","hostDistances","rangeOverlap","roostOverlap","wingAspectRatio","wingLoading","Transition_Rates","Key"
"Nh->Ls",0,4.7,1.004,0.461050502,0,0.1,3.3,0.0813,"Nh->Ls"
"Ph->Ls",0,24.7,0.784,0.001,0,1,7.1,0.0812,"Ph->Ls"
"Ps->Ls",0,8.7,0.858,0.010577303,0,0.5,8.4,0.0726,"Ps->Ls"
"Tb->Ls",0,11.3,0.877,0.26047984,0,1.5,2.5,0.0624,"Tb->Ls"
"Ap->Lx",0,11,0.788,0.088489185,0,1.6,3.891836735,0.178,"Ap->Lx"
"Ef->Lx",0,8,0.881,0.031042918,0,1.1,3.891836735,0.1301,"Ef->Lx"
"Lb->Lx",0,37.1,0.624,0.001,1,1,3.891836735,0.0934,"Lb->Lx"
"Lbl->Lx",0,34,0.546,0.095028822,1,1,3.891836735,0.1272,"Lbl->Lx"
"Lc->Lx",2,4,0.578,0.031271363,1,0.4,3.891836735,0.1818,"Lc->Lx"
"Li->Lx",1,0.001,0.357,0.01,1,0.001,3.891836735,0.1819,"Li->Lx"
"Ln->Lx",0,31,0.847,0.010712341,0,1.1,3.891836735,0.1223,"Ln->Lx"
"Ls->Lx",0,48.3,0.662,0.001,1,1,3.891836735,0.1391,"Ls->Lx"
"Ma->Lx",0,49,0.854,0.001,0,0.85859375,3.891836735,0.1305,"Ma->Lx"
"Mc->Lx",0,51,0.777,0.121306002,0,2.1,3.891836735,0.1578,"Mc->Lx"
"Ml->Lx",0,44,0.796,0.002042596,0,1.7,3.891836735,0.164,"Ml->Lx"
"My->Lx",0,47,0.84,0.106301063,0,1.4,3.891836735,0.1443,"My->Lx"
"Nh->Lx",0,53,0.876,0.001,0,0.9,3.891836735,0.1334,"Nh->Lx"
"Ph->Lx",0,73,0.656,0.16707227,0,2,3.891836735,0.1366,"Ph->Lx"
"Ps->Lx",0,57,0.73,0.001,0,1.5,3.891836735,0.1222,"Ps->Lx"
"Tb->Lx",0,37,0.749,0.066152795,0,0.5,3.891836735,0.1077,"Tb->Lx"
"Ap->Ma",0,38,0.794,0.001,1,0.85859375,3.891836735,0.1119,"Ap->Ma"
"Ef->Ma",0,41,0.887,0.111254299,1,0.85859375,3.891836735,0.0871,"Ef->Ma"
"Lb->Ma",0,11.9,0.944,0.193126823,0,0.85859375,3.891836735,0.0786,"Lb->Ma"
"Lbl->Ma",0,15,0.866,0.001,0,0.85859375,3.891836735,0.1078,"Lbl->Ma"
"Lc->Ma",0,53,0.776,0.111390027,0,0.85859375,3.891836735,0.0869,"Lc->Ma"
"Li->Ma",0,49,0.926,0.607643267,0,0.85859375,3.891836735,0.114,"Li->Ma"
"Ln->Ma",0,18,0.853,0.090564353,1,0.85859375,3.891836735,0.102,"Ln->Ma"
"Ls->Ma",0,0.7,0.982,0.62023378,0,0.85859375,3.891836735,0.1151,"Ls->Ma"
"Lx->Ma",0,49,0.854,0.001,0,0.85859375,3.891836735,0.1105,"Lx->Ma"
"Mc->Ma",0,2,0.273,0.001,1,0.85859375,3.891836735,0.1287,"Mc->Ma"
"Ml->Ma",1,5,0.292,0.109582888,1,0.85859375,3.891836735,0.1334,"Ml->Ma"
"My->Ma",0,2,0.196,0.001,1,0.85859375,3.891836735,0.1182,"My->Ma"
"Nh->Ma",0,4,0.882,0.373929497,1,0.85859375,3.891836735,0.112,"Nh->Ma"
"Ph->Ma",0,24,0.576,0.001,0,0.85859375,3.891836735,0.1136,"Ph->Ma"
"Ps->Ma",0,8,0.65,0.248029161,1,0.85859375,3.891836735,0.102,"Ps->Ma"
"Tb->Ma",0,12,0.989,0.18249628,1,0.85859375,3.891836735,0.0911,"Tb->Ma"
"Ap->Mc",0,40,0.717,0.674152926,1,0.5,3.3,0.0611,"Ap->Mc"
"Ef->Mc",0,43,0.81,0.255905872,1,1,4.6,0.043,"Ef->Mc"
"Lb->Mc",0,13.9,0.867,0.001,0,1.1,9.2,0.042,"Lb->Mc"
"Lbl->Mc",2,17,0.789,0.58193606,0,1.1,9.2,0.1064,"Lbl->Mc"
"Lc->Mc",0,55,0.699,0.257115352,0,2.5,11.7,0.0627,"Lc->Mc"
"Li->Mc",0,51,0.849,0.001,0,2.1,3.891836735,0.058,"Li->Mc"
"Ln->Mc",1,20,0.776,0.23339935,1,1,3.4,0.0775,"Ln->Mc"
"Ls->Mc",0,2.7,0.905,0.001,0,1.1,9.2,0.0607,"Ls->Mc"
"Lx->Mc",0,51,0.777,1,0,2.1,3.891836735,0.0629,"Lx->Mc"
"Ma->Mc",0,2,0.273,0.001,1,0.85859375,3.891836735,0.0606,"Ma->Mc"
"Ml->Mc",4,7,0.139,0.235250685,1,0.4,2.7,0.096,"Ml->Mc"
"My->Mc",1,4,0.259,0.799062631,1,0.7,3,0.0894,"My->Mc"
"Nh->Mc",0,2,0.805,0.001,1,1.2,5.9,0.0613,"Nh->Mc"
"Ph->Mc",0,22,0.499,0.814583745,1,0.1,2.1,0.06,"Ph->Mc"
"Ps->Mc",0,6,0.573,0.001,1,0.6,0.8,0.0535,"Ps->Mc"
"Tb->Mc",0,14,0.912,0.363652028,1,2.6,6.7,0.0466,"Tb->Mc"
"Ap->Ml",0,33,0.736,0.544229558,1,0.1,0.6,0.06,"Ap->Ml"
"Ef->Ml",3,36,0.829,0.719226944,1,0.6,1.9,0.065,"Ef->Ml"
"Lb->Ml",1,6.9,0.886,0.71309991,0,0.7,6.5,0.0554,"Lb->Ml"
"Lbl->Ml",1,10,0.808,0.650341975,0,0.7,6.5,0.071,"Lbl->Ml"
"Lc->Ml",0,48,0.718,0.303803852,0,2.1,9,0.0474,"Lc->Ml"
"Li->Ml",0,44,0.868,0.402663697,0,1.7,3.891836735,0.0564,"Li->Ml"
"Ln->Ml",1,13,0.795,0.755943753,1,0.6,0.7,0.0758,"Ln->Ml"
"Ls->Ml",0,4.3,0.924,0.626244405,0,0.7,6.5,0.0595,"Ls->Ml"
"Lx->Ml",0,44,0.796,0.047325022,0,1.7,3.891836735,0.062,"Lx->Ml"
"Ma->Ml",0,5,0.292,0.708429769,1,0.85859375,3.891836735,0.0595,"Ma->Ml"
"Mc->Ml",1,7,0.139,0.661182741,1,0.4,2.7,0.0911,"Mc->Ml"
"My->Ml",0,3,0.278,0.598910304,1,0.3,0.3,0.0627,"My->Ml"
"Nh->Ml",0,9,0.824,0.68699529,1,0.8,3.2,0.0603,"Nh->Ml"
"Ph->Ml",0,29,0.518,0.40592422,1,0.3,0.6,0.0587,"Ph->Ml"
"Ps->Ml",0,13,0.592,0.758538958,1,0.2,1.9,0.0523,"Ps->Ml"
"Tb->Ml",0,7,0.931,0.453478658,1,2.2,4,0.0453,"Tb->Ml"
"Ap->My",0,36,0.78,0.728197569,1,0.2,0.3,0.0509,"Ap->My"
"Ef->My",1,39,0.873,0.292028297,1,0.3,1.6,0.0427,"Ef->My"
"Lb->My",0,9.9,0.93,0.011562879,0,0.4,6.2,0.0345,"Lb->My"
"Lbl->My",0,13,0.852,0.668353328,0,0.4,6.2,0.0545,"Lbl->My"
"Lc->My",2,51,0.762,0.293810392,0,1.8,8.7,0.0547,"Lc->My"
"Li->My",0,47,0.912,0.001,0,1.4,3.891836735,0.0484,"Li->My"
"Ln->My",0,16,0.839,0.001,0,0.3,0.4,0.0446,"Ln->My"
"Ls->My",0,1.3,0.968,0.001,0,0.4,6.2,0.0505,"Ls->My"
"Lx->My",0,47,0.84,1,0,1.4,3.891836735,0.0522,"Lx->My"
"Ma->My",0,2,0.196,0.001,1,0.85859375,3.891836735,0.0505,"Ma->My"
"Mc->My",1,4,0.259,0.911854418,1,0.7,3,0.0812,"Mc->My"
"Ml->My",2,3,0.278,0.020322085,1,0.3,0.3,0.06,"Ml->My"
"Nh->My",0,6,0.868,0.001,1,0.5,2.9,0.0511,"Nh->My"
"Ph->My",0,26,0.562,0.87886285,0,0.6,0.9,0.0499,"Ph->My"
"Ps->My",0,10,0.636,2.12e-05,1,0.1,2.2,0.045,"Ps->My"
"Tb->My",0,10,0.975,0.39195068,1,1.9,3.7,0.04,"Tb->My"
"Ap->Nh",0,42,0.74,0.032125109,1,0.7,2.6,0.1041,"Ap->Nh"
"Ef->Nh",1,45,0.615,0.297516267,1,0.2,1.3,0.0802,"Ef->Nh"
"Lb->Nh",1,15.9,0.966,0.516459788,0,0.1,3.3,0.1054,"Lb->Nh"
"Lbl->Nh",0,19,0.888,0.001,0,0.1,3.3,0.1009,"Lbl->Nh"
"Lc->Nh",0,57,0.798,0.293283814,0,1.3,5.8,0.0799,"Lc->Nh"
