"","Transitions","wingLoading","wingAspectRatio","roostOverlap","rangeOverlap","hostDistances","bodySize","Transition_Rates","Key"
"Lb->Ma",0,3.891836735,0.85859375,0,0.193126823,0.944,11.9,0.000999999999999999,"Lb->Ma"
"Lbl->Ma",0,3.891836735,0.85859375,0,0.001,0.866,15,0.000999999999999999,"Lbl->Ma"
"Lc->Ma",0,3.891836735,0.85859375,0,0.111390027,0.776,53,0.000999999999999999,"Lc->Ma"
"Li->Ma",0,3.891836735,0.85859375,0,0.607643267,0.926,49,0.000999999999999999,"Li->Ma"
"Ln->Ma",0,3.891836735,0.85859375,1,0.090564353,0.853,18,0.000999999999999999,"Ln->Ma"
"Ls->Ma",0,3.891836735,0.85859375,0,0.62023378,0.982,0.7,0.000999999999999999,"Ls->Ma"
"Lx->Ma",0,3.891836735,0.85859375,0,0.001,0.854,49,0.000999999999999999,"Lx->Ma"
"Mc->Ma",0,3.891836735,0.85859375,1,0.001,0.273,2,0.000999999999999999,"Mc->Ma"
"Ml->Ma",0,3.891836735,0.85859375,1,0.109582888,0.292,5,0.000999999999999999,"Ml->Ma"
"My->Ma",0,3.891836735,0.85859375,1,0.001,0.196,2,0.000999999999999999,"My->Ma"
"Nh->Ma",0,3.891836735,0.85859375,1,0.373929497,0.882,4,0.000999999999999999,"Nh->Ma"
"Ph->Ma",0,3.891836735,0.85859375,0,0.001,0.576,24,0.000999999999999999,"Ph->Ma"
"Ps->Ma",0,3.891836735,0.85859375,1,0.248029161,0.65,8,0.000999999999999999,"Ps->Ma"
"Tb->Ma",0,3.891836735,0.85859375,1,0.18249628,0.989,12,0.000999999999999999,"Tb->Ma"
"Ap->Mc",0,3.3,0.5,1,0.674152926,0.717,40,0.000999999999999999,"Ap->Mc"
"Ef->Mc",0,4.6,1,1,0.255905872,0.81,43,0.000999999999999999,"Ef->Mc"
"Lb->Mc",0,9.2,1.1,0,0.001,0.867,13.9,0.000999999999999999,"Lb->Mc"
"Lbl->Mc",1,9.2,1.1,0,0.58193606,0.789,17,0.000999999999999999,"Lbl->Mc"
"Lc->Mc",1,11.7,2.5,0,0.257115352,0.699,55,0.000999999999999999,"Lc->Mc"
"Li->Mc",0,3.891836735,2.1,0,0.001,0.849,51,0.000999999999999999,"Li->Mc"
"Ln->Mc",1,3.4,1,1,0.23339935,0.776,20,0.000999999999999999,"Ln->Mc"
"Ls->Mc",0,9.2,1.1,0,0.001,0.905,2.7,0.000999999999999999,"Ls->Mc"
"Lx->Mc",0,3.891836735,2.1,0,1,0.777,51,0.000999999999999999,"Lx->Mc"
"Ma->Mc",0,3.891836735,0.85859375,1,0.001,0.273,2,0.000999999999999999,"Ma->Mc"
"Ml->Mc",5,2.7,0.4,1,0.235250685,0.139,7,0.000999999999999999,"Ml->Mc"
"My->Mc",1,3,0.7,1,0.799062631,0.259,4,0.000999999999999999,"My->Mc"
"Nh->Mc",0,5.9,1.2,1,0.001,0.805,2,0.000999999999999999,"Nh->Mc"
"Ph->Mc",0,2.1,0.1,1,0.814583745,0.499,22,0.000999999999999999,"Ph->Mc"
"Ps->Mc",0,0.8,0.6,1,0.001,0.573,6,0.000999999999999999,"Ps->Mc"
"Tb->Mc",0,6.7,2.6,1,0.363652028,0.912,14,0.000999999999999999,"Tb->Mc"
"Ap->Ml",0,0.6,0.1,1,0.544229558,0.736,33,0.000999999999999999,"Ap->Ml"
"Ef->Ml",2,1.9,0.6,1,0.719226944,0.829,36,0.000999999999999999,"Ef->Ml"
"Lb->Ml",1,6.5,0.7,0,0.71309991,0.886,6.9,0.000999999999999999,"Lb->Ml"
"Lbl->Ml",0,6.5,0.7,0,0.650341975,0.808,10,0.000999999999999999,"Lbl->Ml"
"Lc->Ml",0,9,2.1,0,0.303803852,0.718,48,0.000999999999999999,"Lc->Ml"
"Li->Ml",0,3.891836735,1.7,0,0.402663697,0.868,44,0.000999999999999999,"Li->Ml"
"Ln->Ml",1,0.7,0.6,1,0.755943753,0.795,13,0.000999999999999999,"Ln->Ml"
"Ls->Ml",0,6.5,0.7,0,0.626244405,0.924,4.3,0.000999999999999999,"Ls->Ml"
"Lx->Ml",0,3.891836735,1.7,0,0.047325022,0.796,44,0.000999999999999999,"Lx->Ml"
"Ma->Ml",0,3.891836735,0.85859375,1,0.708429769,0.292,5,0.000999999999999999,"Ma->Ml"
"Mc->Ml",1,2.7,0.4,1,0.661182741,0.139,7,0.000999999999999999,"Mc->Ml"
"My->Ml",0,0.3,0.3,1,0.598910304,0.278,3,0.000999999999999999,"My->Ml"
"Nh->Ml",0,3.2,0.8,1,0.68699529,0.824,9,0.000999999999999999,"Nh->Ml"
"Ph->Ml",1,0.6,0.3,1,0.40592422,0.518,29,0.000999999999999999,"Ph->Ml"
"Ps->Ml",0,1.9,0.2,1,0.758538958,0.592,13,0.000999999999999999,"Ps->Ml"
"Tb->Ml",0,4,2.2,1,0.453478658,0.931,7,0.000999999999999999,"Tb->Ml"
"Ap->My",0,0.3,0.2,1,0.728197569,0.78,36,0.000999999999999999,"Ap->My"
"Ef->My",2,1.6,0.3,1,0.292028297,0.873,39,0.000999999999999999,"Ef->My"
"Lb->My",0,6.2,0.4,0,0.011562879,0.93,9.9,0.000999999999999999,"Lb->My"
"Lbl->My",0,6.2,0.4,0,0.668353328,0.852,13,0.000999999999999999,"Lbl->My"
"Lc->My",1,8.7,1.8,0,0.293810392,0.762,51,0.000999999999999999,"Lc->My"
"Li->My",0,3.891836735,1.4,0,0.001,0.912,47,0.000999999999999999,"Li->My"
"Ln->My",0,0.4,0.3,0,0.001,0.839,16,0.000999999999999999,"Ln->My"
"Ls->My",0,6.2,0.4,0,0.001,0.968,1.3,0.000999999999999999,"Ls->My"
"Lx->My",0,3.891836735,1.4,0,1,0.84,47,0.000999999999999999,"Lx->My"
"Ma->My",0,3.891836735,0.85859375,1,0.001,0.196,2,0.000999999999999999,"Ma->My"
"Mc->My",0,3,0.7,1,0.911854418,0.259,4,0.000999999999999999,"Mc->My"
"Ml->My",3,0.3,0.3,1,0.020322085,0.278,3,0.000999999999999999,"Ml->My"
"Nh->My",0,2.9,0.5,1,0.001,0.868,6,0.000999999999999999,"Nh->My"
"Ph->My",0,0.9,0.6,0,0.87886285,0.562,26,0.000999999999999999,"Ph->My"
"Ps->My",0,2.2,0.1,1,2.12e-05,0.636,10,0.000999999999999999,"Ps->My"
"Tb->My",0,3.7,1.9,1,0.39195068,0.975,10,0.000999999999999999,"Tb->My"
"Ap->Nh",0,2.6,0.7,1,0.032125109,0.74,42,0.000999999999999999,"Ap->Nh"
"Ef->Nh",1,1.3,0.2,1,0.297516267,0.615,45,0.000999999999999999,"Ef->Nh"
"Lb->Nh",1,3.3,0.1,0,0.516459788,0.966,15.9,0.000999999999999999,"Lb->Nh"
"Lbl->Nh",0,3.3,0.1,0,0.001,0.888,19,0.000999999999999999,"Lbl->Nh"
"Lc->Nh",0,5.8,1.3,0,0.293283814,0.798,57,0.000999999999999999,"Lc->Nh"
"Li->Nh",0,3.891836735,0.9,0,0.987896909,0.948,53,0.000999999999999999,"Li->Nh"
"Ln->Nh",0,2.5,0.2,1,0.278282088,0.531,22,0.000999999999999999,"Ln->Nh"
"Ls->Nh",0,3.3,0.1,0,0.94040563,1.004,4.7,0.000999999999999999,"Ls->Nh"
"Lx->Nh",0,3.891836735,0.9,0,0.001,0.876,53,0.000999999999999999,"Lx->Nh"
"Ma->Nh",0,3.891836735,0.85859375,1,0.999962335,0.882,4,0.000999999999999999,"Ma->Nh"
"Mc->Nh",0,5.9,1.2,1,0.001,0.805,2,0.000999999999999999,"Mc->Nh"
"Ml->Nh",0,3.2,0.8,1,0.284180069,0.824,9,0.000999999999999999,"Ml->Nh"
"My->Nh",0,2.9,0.5,1,0.001,0.868,6,0.000999999999999999,"My->Nh"
"Ph->Nh",0,3.8,1.1,0,0.001,0.684,20,0.000999999999999999,"Ph->Nh"
"Ps->Nh",0,5.1,0.6,1,0.639340968,0.758,4,0.000999999999999999,"Ps->Nh"
"Tb->Nh",0,0.8,1.4,1,0.387411273,1.011,16,0.000999999999999999,"Tb->Nh"
"Ap->Ph",0,1.2,0.4,1,0.529646154,0.596,62,0.000999999999999999,"Ap->Ph"
"Ef->Ph",1,2.5,0.9,0,0.18580533,0.689,65,0.000999999999999999,"Ef->Ph"
"Lb->Ph",0,7.1,1,0,0.01903271,0.746,35.9,0.000999999999999999,"Lb->Ph"
"Lbl->Ph",0,7.1,1,0,0.421647013,0.668,39,0.000999999999999999,"Lbl->Ph"
"Lc->Ph",0,9.6,2.4,0,0.187172672,0.578,77,0.000999999999999999,"Lc->Ph"
"Li->Ph",0,3.891836735,2,0,0.001,0.728,73,0.000999999999999999,"Li->Ph"
"Ln->Ph",0,1.3,0.9,1,0.158496758,0.655,42,0.000999999999999999,"Ln->Ph"
"Ls->Ph",0,7.1,1,0,0.001,0.784,24.7,0.000999999999999999,"Ls->Ph"
"Lx->Ph",0,3.891836735,2,0,1,0.656,73,0.000999999999999999,"Lx->Ph"
"Ma->Ph",0,3.891836735,0.85859375,0,0.001,0.576,24,0.000999999999999999,"Ma->Ph"
"Mc->Ph",0,2.1,0.1,1,0.591444037,0.499,22,0.000999999999999999,"Mc->Ph"
"Ml->Ph",0,0.6,0.3,1,0.104865413,0.518,29,0.000999999999999999,"Ml->Ph"
"My->Ph",0,0.9,0.6,0,0.559183488,0.562,26,0.000999999999999999,"My->Ph"
"Nh->Ph",0,3.8,1.1,0,0.001,0.684,20,0.000999999999999999,"Nh->Ph"
"Ps->Ph",0,1.3,0.5,1,0.002605376,0.434,16,0.000999999999999999,"Ps->Ph"
"Tb->Ph",0,4.6,2.5,0,0.344288288,0.791,36,0.000999999999999999,"Tb->Ph"
"Ap->Ps",0,2.5,0.1,1,0.060654874,0.67,46,0.000999999999999999,"Ap->Ps"
"Ef->Ps",0,3.8,0.4,1,0.444348723,0.763,49,0.000999999999999999,"Ef->Ps"
"Lb->Ps",1,8.4,0.5,0,0.764603681,0.82,19.9,0.000999999999999999,"Lb->Ps"
"Lbl->Ps",0,8.4,0.5,0,0.001,0.742,23,0.000999999999999999,"Lbl->Ps"
