"","Transitions","subsetDeff","subsetDgeo","Key"
"US->ES",1,4.5177,7580.829,"US->ES"
"UY->ES",0,4.4989,9639.9324,"UY->ES"
"VE->ES",0,3.4056,6825.7638,"VE->ES"
"VN->ES",0,7.3659,10824.0776,"VN->ES"
"AL->FI",0,6.1743,2402.6632,"AL->FI"
"AR->FI",0,7.2002,13735.448,"AR->FI"
"AT->FI",0,4.7882,1821.5385,"AT->FI"
"AU->FI",0,8.0626,14190.9481,"AU->FI"
"BD->FI",0,7.9591,6514.1126,"BD->FI"
"BG->FI",0,5.2478,2227.1534,"BG->FI"
"BO->FI",0,8.0836,11722.0681,"BO->FI"
"BR->FI",0,6.6075,10702.3455,"BR->FI"
"BY->FI",0,5.6434,1015.6342,"BY->FI"
"CA->FI",0,6.4585,6528.8952,"CA->FI"
"CH->FI",0,4.6098,2064.5185,"CH->FI"
"CL->FI",0,7.6965,13479.7447,"CL->FI"
"CN->FI",1,4.3162,6802.4591,"CN->FI"
"CO->FI",0,7.2045,9732.0271,"CO->FI"
"DE->FI",0,2.8553,1581.4582,"DE->FI"
"DK->FI",0,3.0324,1084.1228,"DK->FI"
"EC->FI",0,7.2564,10869.2541,"EC->FI"
"ES->FI",0,4.0498,3394.1754,"ES->FI"
"FJ->FI",0,7.8925,14591.2348,"FJ->FI"
"FR->FI",0,4.1796,2350.8031,"FR->FI"
"GB->FI",0,3.4634,1911.9183,"GB->FI"
"GF->FI",0,5.8684,8869.9581,"GF->FI"
"GR->FI",0,5.0218,2752.8554,"GR->FI"
"HK->FI",0,6.1886,7785.2623,"HK->FI"
"ID->FI",0,8.3297,10298.3035,"ID->FI"
"IN->FI",0,6.5649,6231.1954,"IN->FI"
"IS->FI",0,5.5005,2295.6022,"IS->FI"
"IT->FI",0,4.5116,2391.2569,"IT->FI"
"JP->FI",0,4.8251,7480.536,"JP->FI"
"KH->FI",0,6.7095,8260.8793,"KH->FI"
"KR->FI",0,6.3371,7151.8725,"KR->FI"
"LA->FI",0,6.3694,7632.2639,"LA->FI"
"LK->FI",0,7.3176,7604.0308,"LK->FI"
"LV->FI",0,3.2894,658.52,"LV->FI"
"MD->FI",0,6.4407,1789.7,"MD->FI"
"MM->FI",0,6.2945,7084.1048,"MM->FI"
"MY->FI",0,7.6183,9254.3115,"MY->FI"
"NL->FI",0,4.0888,1693.0778,"NL->FI"
"NO->FI",0,3.8823,693.2622,"NO->FI"
"NP->FI",0,7.5106,5825.8041,"NP->FI"
"NZ->FI",0,8.4598,16876.3323,"NZ->FI"
"PE->FI",0,7.3675,11464.836,"PE->FI"
"PH->FI",0,7.467,9404.4169,"PH->FI"
"PT->FI",0,5.6644,3892.424,"PT->FI"
"PY->FI",0,8.4517,12099.5466,"PY->FI"
"RO->FI",0,5.8587,1936.8961,"RO->FI"
"RS->FI",0,5.8175,2143.066,"RS->FI"
"SE->FI",0,2.3228,533.8285,"SE->FI"
"SG->FI",0,7.2592,9342.334,"SG->FI"
"TH->FI",0,4.7265,7987.2564,"TH->FI"
"TW->FI",0,7.2149,7961.2719,"TW->FI"
"UA->FI",0,5.8964,1710.9994,"UA->FI"
"US->FI",0,5.1081,7608.8623,"US->FI"
"UY->FI",0,8.5487,12939.1234,"UY->FI"
"VE->FI",0,7.2218,9056.5083,"VE->FI"
"VN->FI",0,7.526,8145.7807,"VN->FI"
"AL->FJ",0,8.3367,16641.0041,"AL->FJ"
"AR->FJ",0,5.9431,10975.6397,"AR->FJ"
"AT->FJ",0,7.8465,16377.5759,"AT->FJ"
"AU->FJ",1,1.8551,3690.8806,"AU->FJ"
"BD->FJ",0,7.8127,10411.6945,"BD->FJ"
"BG->FJ",0,8.33,16129.6604,"BG->FJ"
"BO->FJ",0,5.76,12080.0989,"BO->FJ"
"BR->FJ",0,5.2816,13875.1278,"BR->FJ"
"BY->FJ",0,8.7256,15221.9887,"BY->FJ"
"CA->FJ",0,4.1349,11226.0882,"CA->FJ"
"CH->FJ",0,6.7346,16651.3659,"CH->FJ"
"CL->FJ",0,5.969,10828.1042,"CL->FJ"
"CN->FJ",0,6.0984,8873.615,"CN->FJ"
"CO->FJ",0,4.8809,12082.0145,"CO->FJ"
"DE->FJ",0,5.9374,16162.4543,"DE->FJ"
"DK->FJ",0,7.0878,15608.6233,"DK->FJ"
"EC->FJ",0,4.9563,11372.4557,"EC->FJ"
"ES->FJ",0,7.3022,17751.0652,"ES->FJ"
"FI->FJ",0,7.8925,14591.2348,"FI->FJ"
"FR->FJ",0,6.0508,16890.7512,"FR->FJ"
"GB->FJ",0,5.3319,16107.2346,"GB->FJ"
"GF->FJ",0,7.7397,14419.2601,"GF->FJ"
"GR->FJ",0,7.6671,16507.0654,"GR->FJ"
"HK->FJ",0,4.9963,8222.9034,"HK->FJ"
"ID->FJ",0,5.2114,7111.7619,"ID->FJ"
"IN->FJ",0,7.0424,11492.173,"IN->FJ"
"IS->FJ",0,5.2421,14658.5371,"IS->FJ"
"IT->FJ",0,6.674,16930.5436,"IT->FJ"
"JP->FJ",0,4.0691,7400.3428,"JP->FJ"
"KH->FJ",0,7.1743,8700.0594,"KH->FJ"
"KR->FJ",0,4.2669,7911.9577,"KR->FJ"
"LA->FJ",0,6.8343,9101.5973,"LA->FJ"
"LK->FJ",0,7.2183,11050.875,"LK->FJ"
"LV->FJ",0,8.1378,15138.5617,"LV->FJ"
"MD->FJ",0,9.5228,15684.7592,"MD->FJ"
"MM->FJ",0,6.7593,9834.8834,"MM->FJ"
"MY->FJ",0,4.9218,7983.4923,"MY->FJ"
"NL->FJ",0,5.9049,16190.1584,"NL->FJ"
"NO->FJ",0,8.0028,14873.0016,"NO->FJ"
"NP->FJ",0,7.9755,11114.3442,"NP->FJ"
"NZ->FJ",0,2.159,2644.8762,"NZ->FJ"
"PE->FJ",0,5.0439,11503.8659,"PE->FJ"
"PH->FJ",0,6.6714,6764.8762,"PH->FJ"
"PT->FJ",0,7.3682,17448.754,"PT->FJ"
"PY->FJ",0,7.1259,12388.6534,"PY->FJ"
"RO->FJ",0,8.9408,16066.3544,"RO->FJ"
"RS->FJ",0,8.427,16405.9138,"RS->FJ"
"SE->FJ",0,7.3992,15088.2586,"SE->FJ"
"SG->FJ",0,4.0545,8309.928,"SG->FJ"
"TH->FJ",0,5.1913,9113.7516,"TH->FJ"
"TW->FJ",0,6.1722,7718.1826,"TW->FJ"
"UA->FJ",0,7.8377,15424.3043,"UA->FJ"
"US->FJ",0,2.7845,10951.9073,"US->FJ"
"UY->FJ",0,7.3287,11930.2436,"UY->FJ"
"VE->FJ",0,5.0511,13114.1804,"VE->FJ"
"VN->FJ",0,6.3889,8500.0218,"VN->FJ"
"AL->FR",0,4.3058,1396.5037,"AL->FR"
"AR->FR",0,4.9439,11575.2664,"AR->FR"
"AT->FR",0,3.9408,859.4799,"AT->FR"
"AU->FR",3,6.777,15994.8199,"AU->FR"
"BD->FR",1,6.766,8015.3665,"BD->FR"
"BG->FR",0,4.0449,1847.4597,"BG->FR"
"BO->FR",0,5.9046,9831.338,"BO->FR"
"BR->FR",2,3.5674,8514.5745,"BR->FR"
"BY->FR",0,4.4661,1995.4945,"BY->FR"
"CA->FR",0,3.9134,6948.164,"CA->FR"
"CH->FR",0,3.0249,376.0677,"CH->FR"
"CL->FR",0,6.2394,11465.7783,"CL->FR"
"CN->FR",0,4.4565,8847.9009,"CN->FR"
"CO->FR",0,4.6021,8510.4113,"CO->FR"
"DE->FR",0,2.8778,779.9046,"DE->FR"
"DK->FR",0,3.6217,1290.8385,"DK->FR"
"EC->FR",0,5.4381,9557.6126,"EC->FR"
"ES->FR",0,2.87,1069.7368,"ES->FR"
"FI->FR",0,4.1796,2350.8031,"FI->FR"
"FJ->FR",0,6.0508,16890.7512,"FJ->FR"
"GB->FR",0,2.5953,927.8282,"GB->FR"
"GF->FR",0,1.6889,7007.6115,"GF->FR"
"GR->FR",0,3.9037,1980.114,"GR->FR"
"HK->FR",0,5.3122,9741.0003,"HK->FR"
"ID->FR",0,6.8178,11857.4158,"ID->FR"
"IN->FR",0,4.0978,7333.215,"IN->FR"
"IS->FR",0,4.1992,2610.0465,"IS->FR"
"IT->FR",0,2.6431,767.9252,"IT->FR"
"JP->FR",0,4.3277,9797.1807,"JP->FR"
"KH->FR",0,6.4826,9862.9955,"KH->FR"
"KR->FR",1,5.231,9416.5184,"KR->FR"
"LA->FR",0,6.7289,9290.3389,"LA->FR"
"LK->FR",0,5.1442,8395.5205,"LK->FR"
"LV->FR",0,5.4012,1908.9066,"LV->FR"
"MD->FR",0,5.5678,1970.6844,"MD->FR"
"MM->FR",0,6.654,8627.9467,"MM->FR"
"MY->FR",0,5.6445,10808.1003,"MY->FR"
"NL->FR",0,3.5139,700.8695,"NL->FR"
"NO->FR",0,3.7835,2017.9462,"NO->FR"
"NP->FR",1,6.0992,7268.1594,"NP->FR"
"NZ->FR",0,6.6181,19095.5093,"NZ->FR"
"PE->FR",0,5.5258,9890.0279,"PE->FR"
"PH->FR",0,6.9697,11370.3702,"PH->FR"
"PT->FR",0,2.9231,1809.0095,"PT->FR"
"PY->FR",0,5.4117,9975.9677,"PY->FR"
"RO->FR",0,3.3441,1633.5923,"RO->FR"
"RS->FR",0,4.0187,1387.7879,"RS->FR"
"SE->FR",0,3.6055,1829.579,"SE->FR"
"SG->FR",0,4.9949,10731.2255,"SG->FR"
"TH->FR",0,5.0859,9512.7639,"TH->FR"
"TW->FR",0,6.4767,10042.7345,"TW->FR"
"UA->FR",0,4.3682,2195.6379,"UA->FR"
"US->FR",1,3.2663,7708.1687,"US->FR"
"UY->FR",0,5.8509,10708.7105,"UY->FR"
"VE->FR",0,4.0751,7628.0053,"VE->FR"
"VN->FR",0,4.4959,9869.808,"VN->FR"
"AL->GB",0,4.2095,2091.5054,"AL->GB"
"AR->GB",2,5.1206,11825.4634,"AR->GB"
"AT->GB",1,3.4445,1317.9986,"AT->GB"
"AU->GB",6,6.0581,16056.1655,"AU->GB"
"BD->GB",0,4.4957,8174.2177,"BD->GB"
"BG->GB",0,3.3048,2391.3298,"BG->GB"
"BO->GB",0,5.523,9871.3429,"BO->GB"
"BR->GB",0,4.3808,8790.844,"BR->GB"
"BY->GB",0,4.2434,2003.4291,"BY->GB"
"CA->GB",0,3.3116,6095.8115,"CA->GB"
"CH->GB",0,2.6693,995.2452,"CH->GB"
"CL->GB",0,5.617,11598.593,"CL->GB"
"CN->GB",6,5.227,8693.0354,"CN->GB"
"CO->GB",0,4.644,8179.3961,"CO->GB"
"DE->GB",0,2.7611,854.1712,"DE->GB"
"DK->GB",0,3.0226,894.2933,"DK->GB"
"EC->GB",0,4.7193,9280.2259,"EC->GB"
"ES->GB",0,1.9702,1667.0978,"ES->GB"
"FI->GB",0,3.4634,1911.9183,"FI->GB"
"FJ->GB",0,5.3319,16107.2346,"FJ->GB"
"FR->GB",0,2.5953,927.8282,"FR->GB"
"GF->GB",0,4.2842,7012.4613,"GF->GB"
"GR->GB",0,3.1281,2680.1469,"GR->GB"
"HK->GB",0,4.1584,9654.7029,"HK->GB"
"ID->GB",0,5.7401,12026.8279,"ID->GB"
"IN->GB",4,3.3712,7657.8676,"IN->GB"
"IS->GB",0,2.4308,1686.3656,"IS->GB"
"IT->GB",0,2.5467,1571.2909,"IT->GB"
"JP->GB",1,4.5208,9352.1346,"JP->GB"
"KH->GB",0,6.2997,9990.4604,"KH->GB"
"KR->GB",1,5.5693,9054.1319,"KR->GB"
"LA->GB",0,5.9597,9382.4138,"LA->GB"
"LK->GB",0,4.067,8855.9749,"LK->GB"
"LV->GB",0,2.8058,1729.9777,"LV->GB"
"MD->GB",0,5.6423,2318.9264,"MD->GB"
"MM->GB",0,5.8848,8772.9655,"MM->GB"
"MY->GB",1,4.2513,10970.1248,"MY->GB"
"NL->GB",0,2.4154,528.3769,"NL->GB"
"NO->GB",0,2.6709,1366.0692,"NO->GB"
"NP->GB",0,5.3726,7444.8431,"NP->GB"
"NZ->GB",3,5.8993,18686.0534,"NZ->GB"
"PE->GB",0,4.807,9745.5799,"PE->GB"
"PH->GB",0,6.5048,11283.8931,"PH->GB"
"PT->GB",0,2.4463,1988.8752,"PT->GB"
"PY->GB",0,6.225,10191.507,"PY->GB"
"RO->GB",0,4.1334,2097.6211,"RO->GB"
"RS->GB",0,3.9395,1979.4852,"RS->GB"
"SE->GB",0,2.7902,1393.0065,"SE->GB"
"SG->GB",0,3.9171,10975.3513,"SG->GB"
"TH->GB",0,4.3167,9676.4664,"TH->GB"
"TW->GB",0,5.9353,9862.9402,"TW->GB"
"UA->GB",0,4.3656,2472.1854,"UA->GB"
"US->GB",7,2.5475,6928.3089,"US->GB"
"UY->GB",0,6.4692,11029.547,"UY->GB"
"VE->GB",0,4.8141,7384.6213,"VE->GB"
"VN->GB",0,7.0008,9930.0012,"VN->GB"
"AL->GF",0,5.9947,8165.7171,"AL->GF"
"AR->GF",0,5.6167,4987.0772,"AR->GF"
"AT->GF",0,5.6297,7865.7449,"AT->GF"
"AU->GF",1,8.4658,16972.6389,"AU->GF"
"BD->GF",0,8.4549,14970.4272,"BD->GF"
"BG->GF",0,5.7337,8718.3861,"BG->GF"
"BO->GF",0,5.9476,2858.9235,"BO->GF"
"BR->GF",0,3.6105,2423.7215,"BR->GF"
"BY->GF",0,6.155,8947.8843,"BY->GF"
"CA->GF",0,5.6023,6427.5351,"CA->GF"
"CH->GF",0,4.7138,7383.2695,"CH->GF"
"CL->GF",0,6.2825,4615.1252,"CL->GF"
"CN->GF",0,6.1454,15651.2933,"CN->GF"
"CO->GF",0,6.291,2572.0327,"CO->GF"
"DE->GF",0,4.5667,7672.2313,"DE->GF"
"DK->GF",0,5.3106,7906.2246,"DK->GF"
"EC->GF",0,7.127,3059.3491,"EC->GF"
"ES->GF",0,4.5588,6047.8557,"ES->GF"
"FI->GF",0,5.8684,8869.9581,"FI->GF"
"FJ->GF",0,7.7397,14419.2601,"FJ->GF"
"FR->GF",1,1.6889,7007.6115,"FR->GF"
"GB->GF",0,4.2842,7012.4613,"GB->GF"
"GR->GF",0,5.5926,8587.443,"GR->GF"
"HK->GF",0,7.0011,16654.6744,"HK->GF"
"ID->GF",0,8.5067,18475.3458,"ID->GF"
"IN->GF",0,5.7866,14055.3207,"IN->GF"
"IS->GF",0,5.8881,7000.9526,"IS->GF"
"IT->GF",0,4.332,7571.1594,"IT->GF"
"JP->GF",0,6.0166,15420.137,"JP->GF"
"KH->GF",0,8.1715,16805.6742,"KH->GF"
"KR->GF",0,6.9198,15513.574,"KR->GF"
"LA->GF",0,8.4178,16279.8192,"LA->GF"
"LK->GF",0,6.833,14555.2489,"LK->GF"
"LV->GF",0,7.0901,8734.5016,"LV->GF"
"MD->GF",0,7.2567,8958.7598,"MD->GF"
"MM->GF",0,8.3429,15583.3103,"MM->GF"
"MY->GF",0,7.3334,17628.5648,"MY->GF"
"NL->GF",0,5.1376,7398.9737,"NL->GF"
"NO->GF",0,5.4724,8211.9501,"NO->GF"
"NP->GF",0,7.788,14222.4598,"NP->GF"
"NZ->GF",0,8.307,13935.6629,"NZ->GF"
"PE->GF",0,7.2147,2984.2433,"PE->GF"
"PH->GF",0,8.6586,18251.5108,"PH->GF"
"PT->GF",0,4.6119,5198.8204,"PT->GF"
"PY->GF",0,5.4547,3388.3685,"PY->GF"
"RO->GF",0,5.033,8589.5818,"RO->GF"
"RS->GF",0,5.7076,8280.9316,"RS->GF"
"SE->GF",0,5.2944,8385.8761,"SE->GF"
"SG->GF",0,6.6838,17304.1893,"SG->GF"
"TH->GF",0,6.7748,16415.0091,"TH->GF"
"TW->GF",0,8.1655,16740.3981,"TW->GF"
"UA->GF",0,6.057,9196.7178,"UA->GF"
"US->GF",1,4.9552,5727.4302,"US->GF"
"UY->GF",0,5.8939,4426.7446,"UY->GF"
"VE->GF",0,5.764,1643.4564,"VE->GF"
"VN->GF",0,6.1848,16871.4261,"VN->GF"
"AL->GR",0,3.473,593.6679,"AL->GR"
"AR->GR",0,7.3767,12558.5227,"AR->GR"
"AT->GR",0,4.0251,1377.6353,"AT->GR"
"AU->GR",0,8.2046,14228.3696,"AU->GR"
"BD->GR",0,7.6238,6387.7604,"BD->GR"
"BG->GR",0,3.8864,536.4302,"BG->GR"
"BO->GR",0,7.8582,11260.6258,"BO->GR"
"BR->GR",0,5.9186,9615.2074,"BR->GR"
"BY->GR",1,4.9546,1770.9175,"BY->GR"
"CA->GR",0,5.6799,8743.0611,"CA->GR"
"CH->GR",1,4.077,1718.6924,"CH->GR"
"CL->GR",0,7.8731,12671.4181,"CL->GR"
"CN->GR",0,6.392,7665.4826,"CN->GR"
"CO->GR",0,6.9792,10384.5456,"CO->GR"
"DE->GR",0,2.1665,1882.2254,"DE->GR"
"DK->GR",0,4.8671,2296.5045,"DK->GR"
"EC->GR",0,7.0545,11373.63,"EC->GR"
"ES->GR",0,4.2264,2621.377,"ES->GR"
"FI->GR",0,5.0218,2752.8554,"FI->GR"
"FJ->GR",0,7.6671,16507.0654,"FJ->GR"
"FR->GR",0,3.9037,1980.114,"FR->GR"
"GB->GR",4,3.1281,2680.1469,"GB->GR"
"GF->GR",0,5.5926,8587.443,"GF->GR"
"HK->GR",0,7.2865,8401.1853,"HK->GR"
"ID->GR",0,7.8282,10117.0733,"ID->GR"
"IN->GR",0,5.8761,5530.1035,"IN->GR"
"IS->GR",0,5.5588,4242.4171,"IS->GR"
"IT->GR",0,3.1539,1216.1576,"IT->GR"
"JP->GR",0,6.8463,9139.0916,"JP->GR"
"KH->GR",0,7.7843,8218.7347,"KH->GR"
"KR->GR",0,7.1094,8601.1006,"KR->GR"
"LA->GR",0,7.4442,7708.2451,"LA->GR"
"LK->GR",0,6.6287,6465.9776,"LK->GR"
"LV->GR",0,5.0093,2096.4868,"LV->GR"
"MD->GR",0,4.7231,1031.8605,"MD->GR"
"MM->GR",0,7.3693,6998.2246,"MM->GR"
"MY->GR",0,7.3794,9099.6811,"MY->GR"
"NL->GR",0,4.2554,2171.899,"NL->GR"
"NO->GR",0,5.4516,2945.9516,"NO->GR"
"NP->GR",0,7.8775,5643.8984,"NP->GR"
"NZ->GR",1,8.2345,17296.4552,"NZ->GR"
"PE->GR",0,7.1422,11561.7683,"PE->GR"
"PH->GR",0,8.84,9963.294,"PH->GR"
"PT->GR",0,5.0672,3571.8047,"PT->GR"
"PY->GR",0,7.7629,11111.8193,"PY->GR"
"RO->GR",0,3.8701,818.6459,"RO->GR"
"RS->GR",0,4.7116,727.4855,"RS->GR"
"SE->GR",0,5.1149,2499.4088,"SE->GR"
"SG->GR",0,6.0052,8941.0669,"SG->GR"
"TH->GR",0,5.8013,7834.6747,"TH->GR"
"TW->GR",0,8.2705,8844.0565,"TW->GR"
"UA->GR",0,5.185,1238.9054,"UA->GR"
"US->GR",0,4.8827,9608.3859,"US->GR"
"UY->GR",0,8.2021,11603.6337,"UY->GR"
"VE->GR",0,6.533,9447.0335,"VE->GR"
"VN->GR",0,7.8743,8311.0832,"VN->GR"
"AL->HK",0,7.8552,8724.5523,"AL->HK"
"AR->HK",2,7.1532,18235.7316,"AR->HK"
"AT->HK",0,7.1917,8896.5448,"AT->HK"
"AU->HK",6,3.1412,6407.9869,"AU->HK"
"BD->HK",0,4.171,2311.2914,"BD->HK"
"BG->HK",0,7.4632,8163.5296,"BG->HK"
"BO->HK",0,6.97,19450.4382,"BO->HK"
"BR->HK",1,6.4917,17884.8959,"BR->HK"
"BY->HK",0,7.9123,7761.0024,"BY->HK"
"CA->HK",0,4.3492,11530.9814,"CA->HK"
"CH->HK",0,6.0045,9366.1731,"CH->HK"
"CL->HK",0,7.179,18767.121,"CL->HK"
"CN->HK",38,1.8724,1042.5784,"CN->HK"
"CO->HK",0,6.091,16514.1657,"CO->HK"
"DE->HK",0,5.1242,9035.1444,"DE->HK"
"DK->HK",1,6.9593,8763.5035,"DK->HK"
"EC->HK",0,6.1663,17335.3735,"EC->HK"
"ES->HK",0,6.1286,10760.3824,"ES->HK"
"FI->HK",0,6.1886,7785.2623,"FI->HK"
"FJ->HK",0,4.9963,8222.9034,"FJ->HK"
"FR->HK",1,5.3122,9741.0003,"FR->HK"
"GB->HK",0,4.1584,9654.7029,"GB->HK"
"GF->HK",0,7.0011,16654.6744,"GF->HK"
"GR->HK",0,7.2865,8401.1853,"GR->HK"
"ID->HK",0,3.5538,2845.4526,"ID->HK"
"IN->HK",0,5.2079,3555.208,"IN->HK"
"IS->HK",0,6.4521,9713.0246,"IS->HK"
"IT->HK",0,6.1925,9262.3873,"IT->HK"
"JP->HK",5,3.0278,2594.7516,"JP->HK"
"KH->HK",0,4.4083,1490.1333,"KH->HK"
"KR->HK",2,3.4656,2011.5568,"KR->HK"
"LA->HK",0,4.3449,1276.7964,"LA->HK"
"LK->HK",0,6.2748,4012.0237,"LK->HK"
"LV->HK",0,6.9643,7944.4628,"LV->HK"
"MD->HK",0,8.5409,7849.353,"MD->HK"
"MM->HK",0,4.2699,1870.3095,"MM->HK"
"MY->HK",4,3.5108,2085.405,"MY->HK"
"NL->HK",0,5.3652,9291.6545,"NL->HK"
"NO->HK",0,6.8293,8443.1937,"NO->HK"
"NP->HK",0,4.5468,2931.4602,"NP->HK"
"NZ->HK",1,4.1658,9355.9326,"NZ->HK"
"PE->HK",0,6.254,18351.3804,"PE->HK"
"PH->HK",0,2.4706,1633.6206,"PH->HK"
"PT->HK",0,6.6047,11531.3762,"PT->HK"
"PY->HK",0,8.3359,19088.5943,"PY->HK"
"RO->HK",0,8.1275,8236.3068,"RO->HK"
"RS->HK",0,8.0863,8566.8874,"RS->HK"
"SE->HK",0,6.9486,8273.5353,"SE->HK"
"SG->HK",0,3.1654,2563.7853,"SG->HK"
"TH->HK",1,2.7019,1725.6561,"TH->HK"
"TW->HK",0,1.8154,697.9277,"TW->HK"
"UA->HK",0,7.8637,7596.6201,"UA->HK"
"US->HK",5,3.9945,12628.5264,"US->HK"
"UY->HK",0,8.5387,18281.952,"UY->HK"
"VE->HK",0,6.2611,16420.533,"VE->HK"
"VN->HK",1,3.2709,1027.7719,"VN->HK"
"AL->ID",0,9.8312,10591.2963,"AL->ID"
"AR->ID",0,9.1217,15390.6762,"AR->ID"
"AT->ID",0,6.8652,11003.5279,"AT->ID"
"AU->ID",0,3.3562,4142.0196,"AU->ID"
"BD->ID",0,5.5181,3858.2231,"BD->ID"
"BG->ID",0,8.7553,10058.2126,"BG->ID"
"BO->ID",0,8.9385,17744.5115,"BO->ID"
"BR->ID",0,8.4602,16972.1716,"BR->ID"
"BY->ID",0,9.1509,10028.5479,"BY->ID"
"CA->ID",0,7.3135,14179.7686,"CA->ID"
"CH->ID",0,7.2124,11490.3586,"CH->ID"
"CL->ID",0,9.1475,15991.2601,"CL->ID"
"CN->ID",0,4.4512,3874.9176,"CN->ID"
"CO->ID",0,8.0595,18879.5156,"CO->ID"
"DE->ID",0,6.3628,11275.5235,"DE->ID"
"DK->ID",0,7.9737,11144.5985,"DK->ID"
"EC->ID",0,8.1348,18482.4217,"EC->ID"
"ES->ID",0,7.7103,12723.5966,"ES->ID"
"FI->ID",0,8.3297,10298.3035,"FI->ID"
"FJ->ID",0,5.2114,7111.7619,"FJ->ID"
"FR->ID",0,6.8178,11857.4158,"FR->ID"
"GB->ID",0,5.7401,12026.8279,"GB->ID"
"GF->ID",0,8.5067,18475.3458,"GF->ID"
"GR->ID",0,7.8282,10117.0733,"GR->ID"
"HK->ID",1,3.5538,2845.4526,"HK->ID"
"IN->ID",0,4.8108,4588.0375,"IN->ID"
"IS->ID",0,8.1709,12415.4297,"IS->ID"
"IT->ID",0,8.1685,11216.6599,"IT->ID"
"JP->ID",0,3.5046,4915.1855,"JP->ID"
"KH->ID",0,5.3316,2041.1578,"KH->ID"
"KR->ID",0,4.2682,4576.9134,"KR->ID"
"LA->ID",0,5.6783,2666.0431,"LA->ID"
"LK->ID",0,4.9868,3939.5393,"LK->ID"
"LV->ID",0,8.546,10305.3086,"LV->ID"
"MD->ID",0,9.9481,9887.2789,"MD->ID"
"MM->ID",0,4.6647,3254.5771,"MM->ID"
"MY->ID",0,2.0214,1057.0576,"MY->ID"
"NL->ID",0,6.587,11577.539,"NL->ID"
"NO->ID",0,8.411,10987.1155,"NO->ID"
"NP->ID",0,5.9875,4598.2245,"NP->ID"
"NZ->ID",0,4.7064,7267.576,"NZ->ID"
"PE->ID",0,8.2225,18268.5172,"PE->ID"
"PH->ID",0,4.8162,1816.2327,"PH->ID"
"PT->ID",0,8.1864,13640.5678,"PT->ID"
"PY->ID",0,10.3044,16713.3283,"PY->ID"
"RO->ID",0,9.3661,10230.3159,"RO->ID"
"RS->ID",0,9.3249,10512.0834,"RS->ID"
"SE->ID",0,8.1515,10727.4793,"SE->ID"
"SG->ID",0,1.823,1206.5995,"SG->ID"
"TH->ID",0,4.0353,2354.0289,"TH->ID"
"TW->ID",0,3.6309,3103.9902,"TW->ID"
"UA->ID",0,9.6179,9670.4293,"UA->ID"
"US->ID",0,5.963,15128.7916,"US->ID"
"UY->ID",0,10.5072,15631.0187,"UY->ID"
"VE->ID",0,8.2296,19265.961,"VE->ID"
"VN->ID",0,4.9066,2179.3475,"VN->ID"
"AL->IN",0,7.0215,6018.114,"AL->IN"
"AR->IN",2,8.4917,16137.552,"AR->IN"
"AT->IN",1,4.92,6499.7934,"AT->IN"
"AU->IN",1,5.1873,8707.5556,"AU->IN"
"BD->IN",3,3.0314,1263.1078,"BD->IN"
"BG->IN",0,6.1021,5499.7497,"BG->IN"
"BO->IN",0,8.5547,16361.5312,"BO->IN"
"BR->IN",2,7.4618,14357.4325,"BR->IN"
"BY->IN",0,6.4977,5681.0813,"BY->IN"
"CA->IN",0,5.7748,12248.5005,"CA->IN"
"CH->IN",0,5.2543,6979.7466,"CH->IN"
"CL->IN",0,8.7637,16831.3847,"CL->IN"
"CN->IN",8,5.4491,3441.478,"CN->IN"
"CO->IN",1,7.6756,15830.065,"CO->IN"
"DE->IN",0,3.7096,6839.0941,"DE->IN"
"DK->IN",0,6.3938,6835.5852,"DK->IN"
"EC->IN",0,7.7509,16888.6756,"EC->IN"
"ES->IN",0,5.3414,8143.9694,"ES->IN"
"FI->IN",0,6.5649,6231.1954,"FI->IN"
"FJ->IN",0,7.0424,11492.173,"FJ->IN"
"FR->IN",0,4.0978,7333.215,"FR->IN"
"GB->IN",1,3.3712,7657.8676,"GB->IN"
"GF->IN",0,5.7866,14055.3207,"GF->IN"
"GR->IN",0,5.8761,5530.1035,"GR->IN"
"HK->IN",1,5.2079,3555.208,"HK->IN"
"ID->IN",0,4.8108,4588.0375,"ID->IN"
"IS->IN",0,5.8019,8525.8184,"IS->IN"
"IT->IN",0,5.3588,6653.3465,"IT->IN"
"JP->IN",0,5.8416,5683.1959,"JP->IN"
"KH->IN",0,5.3503,2792.4243,"KH->IN"
"KR->IN",0,5.461,4969.4129,"KR->IN"
"LA->IN",0,5.0103,2434.7017,"LA->IN"
"LK->IN",0,2.1794,1499.3609,"LK->IN"
"LV->IN",0,6.177,6032.2276,"LV->IN"
"MD->IN",0,7.295,5388.0524,"MD->IN"
"MM->IN",0,3.9973,1716.4448,"MM->IN"
"MY->IN",1,3.5004,3587.0371,"MY->IN"
"NL->IN",0,4.6053,7160.13,"NL->IN"
"NO->IN",0,6.042,6905.7087,"NO->IN"
"NP->IN",1,2.0014,981.786,"NP->IN"
"NZ->IN",2,6.5083,11821.3618,"NZ->IN"
"PE->IN",0,7.8386,17031.8898,"PE->IN"
"PH->IN",0,5.9812,4764.111,"PH->IN"
"PT->IN",0,5.8175,9077.1033,"PT->IN"
"PY->IN",0,9.306,15609.5188,"PY->IN"
"RO->IN",0,6.713,5700.5323,"RO->IN"
