"","Transitions","subsetDeff","subsetDgeo","Key"
"CN->BO",0,7.1472,18410.9061,"CN->BO"
"CO->BO",0,4.6941,2979.5771,"CO->BO"
"DE->BO",0,6.0893,10518.4584,"DE->BO"
"DK->BO",0,7.2789,10764.9862,"DK->BO"
"EC->BO",0,5.1473,2249.4041,"EC->BO"
"ES->BO",0,4.6928,8832.2598,"ES->BO"
"FI->BO",0,8.0836,11722.0681,"FI->BO"
"FJ->BO",0,5.76,12080.0989,"FJ->BO"
"FR->BO",0,5.9046,9831.338,"FR->BO"
"GB->BO",0,5.523,9871.3429,"GB->BO"
"GF->BO",0,5.9476,2858.9235,"GF->BO"
"GR->BO",0,7.8582,11260.6258,"GR->BO"
"HK->BO",0,6.97,19450.4382,"HK->BO"
"ID->BO",0,8.9385,17744.5115,"ID->BO"
"IN->BO",0,8.5547,16361.5312,"IN->BO"
"IS->BO",0,5.4332,9756.0642,"IS->BO"
"IT->BO",0,6.6211,10344.2687,"IT->BO"
"JP->BO",1,5.4339,17046.7249,"JP->BO"
"KH->BO",0,10.1026,18841.3145,"KH->BO"
"KR->BO",0,6.3021,17556.5859,"KR->BO"
"LA->BO",0,9.9947,18787.2131,"LA->BO"
"LK->BO",0,9.59,16138.1747,"LK->BO"
"LV->BO",0,8.3288,11591.8609,"LV->BO"
"MD->BO",0,9.6747,11752.2697,"MD->BO"
"MM->BO",0,9.9366,18077.2272,"MM->BO"
"MY->BO",0,9.4396,18455.2146,"MY->BO"
"NL->BO",0,6.096,10251.9747,"NL->BO"
"NO->BO",0,8.1939,11056.1331,"NO->BO"
"NP->BO",0,10.5561,16846.869,"NP->BO"
"NZ->BO",0,6.3273,11114.6172,"NZ->BO"
"PE->BO",0,2.8008,1272.1196,"PE->BO"
"PH->BO",0,6.9329,18817.206,"PH->BO"
"PT->BO",0,5.3523,8029.464,"PT->BO"
"PY->BO",0,2.3161,1242.2065,"PY->BO"
"RO->BO",0,8.792,11370.9947,"RO->BO"
"RS->BO",0,8.6181,11047.368,"RS->BO"
"SE->BO",0,7.5903,11243.2846,"SE->BO"
"SG->BO",0,8.6855,17938.4178,"SG->BO"
"TH->BO",0,8.3685,18501.5573,"TH->BO"
"TW->BO",0,6.3633,19028.0248,"TW->BO"
"UA->BO",0,8.0288,11999.7249,"UA->BO"
"US->BO",0,2.9755,6891.1664,"US->BO"
"UY->BO",0,4.1414,2220.1126,"UY->BO"
"VE->BO",0,4.2304,3030.9845,"VE->BO"
"VN->BO",0,8.6958,19280.5164,"VN->BO"
"AL->BR",0,5.9467,9358.7756,"AL->BR"
"AR->BR",4,2.0062,3060.8456,"AR->BR"
"AT->BR",1,5.9222,9315.4038,"AT->BR"
"AU->BR",4,6.0078,14988.366,"AU->BR"
"BD->BR",3,8.8765,15581.7036,"BD->BR"
"BG->BR",0,6.1447,9912.607,"BG->BR"
"BO->BR",0,2.3371,2032.3659,"BO->BR"
"BY->BR",0,6.5403,10505.5933,"BY->BR"
"CA->BR",0,3.8477,8753.1779,"CA->BR"
"CH->BR",0,5.4419,8877.0603,"CH->BR"
"CL->BR",1,2.672,3056.2796,"CL->BR"
"CN->BR",1,6.6689,17280.5106,"CN->BR"
"CO->BR",0,4.2524,4142.5392,"CO->BR"
"DE->BR",0,3.7522,9271.3612,"DE->BR"
"DK->BR",0,6.7303,9643.3478,"DK->BR"
"EC->BR",0,4.669,3892.3795,"EC->BR"
"ES->BR",0,3.7002,7452.6044,"ES->BR"
"FI->BR",0,6.6075,10702.3455,"FI->BR"
"FJ->BR",0,5.2816,13875.1278,"FJ->BR"
"FR->BR",0,3.5674,8514.5745,"FR->BR"
"GB->BR",1,4.3808,8790.844,"GB->BR"
"GF->BR",0,3.6105,2423.7215,"GF->BR"
"GR->BR",0,5.9186,9615.2074,"GR->BR"
"HK->BR",3,6.4917,17884.8959,"HK->BR"
"ID->BR",0,8.4602,16972.1716,"ID->BR"
"IN->BR",0,7.4618,14357.4325,"IN->BR"
"IS->BR",0,4.9548,9162.8721,"IS->BR"
"IT->BR",0,4.284,8881.0493,"IT->BR"
"JP->BR",0,4.9556,17828.7635,"JP->BR"
"KH->BR",0,9.6243,16881.3535,"KH->BR"
"KR->BR",1,5.8237,17792.8991,"KR->BR"
"LA->BR",0,9.5164,16758.8558,"LA->BR"
"LK->BR",0,8.2144,14139.6129,"LK->BR"
"LV->BR",0,6.595,10403.5481,"LV->BR"
"MD->BR",0,7.3375,10281.9458,"MD->BR"
"MM->BR",0,9.4582,16069.9497,"MM->BR"
"MY->BR",0,8.6321,16983.0542,"MY->BR"
"NL->BR",0,5.1139,9061.9017,"NL->BR"
"NO->BR",0,7.0373,10116.5485,"NO->BR"
"NP->BR",1,9.4632,14954.948,"NP->BR"
"NZ->BR",0,5.849,12402.4192,"NZ->BR"
"PE->BR",1,3.7058,3125.6966,"PE->BR"
"PH->BR",0,6.4545,18716.411,"PH->BR"
"PT->BR",0,3.0152,6814.6978,"PT->BR"
"PY->BR",0,1.8442,1497.6375,"PY->BR"
"RO->BR",0,6.6031,9887.6925,"RO->BR"
"RS->BR",0,6.7143,9545.9128,"RS->BR"
"SE->BR",0,6.7006,10177.2286,"SE->BR"
"SG->BR",0,8.2072,16413.5075,"SG->BR"
"TH->BR",0,7.8902,16497.998,"TH->BR"
"TW->BR",0,5.885,18447.6325,"TW->BR"
"UA->BR",1,7.0073,10543.4605,"UA->BR"
"US->BR",7,2.4972,7907.258,"US->BR"
"UY->BR",0,2.2834,2244.9237,"UY->BR"
"VE->BR",0,4.5005,3632.6964,"VE->BR"
"VN->BR",0,8.0633,17268.2595,"VN->BR"
"AL->BY",0,5.3844,1517.2472,"AL->BY"
"AR->BY",0,7.9984,13564.7423,"AR->BY"
"AT->BY",0,3.2526,1204.042,"AT->BY"
"AU->BY",0,9.4517,14104.5074,"AU->BY"
"BD->BY",0,8.7392,6172.7166,"BD->BY"
"BG->BY",0,5.1806,1235.9093,"BG->BY"
"BO->BY",0,8.8774,11794.863,"BO->BY"
"BR->BY",0,6.5403,10505.5933,"BR->BY"
"CA->BY",0,6.8735,7434.8656,"CA->BY"
"CH->BY",0,5.3727,1628.8489,"CH->BY"
"CL->BY",0,8.4948,13457.5955,"CL->BY"
"CN->BY",0,6.1536,6853.8925,"CN->BY"
"CO->BY",0,8.0376,10171.2071,"CO->BY"
"DE->BY",0,2.7881,1276.4362,"DE->BY"
"DK->BY",0,5.7663,1154.5262,"DK->BY"
"EC->BY",0,8.0546,11279.8646,"EC->BY"
"ES->BY",0,4.848,3052.9891,"ES->BY"
"FI->BY",0,5.6434,1015.6342,"FI->BY"
"FJ->BY",0,8.7256,15221.9887,"FJ->BY"
"FR->BY",1,4.4661,1995.4945,"FR->BY"
"GB->BY",0,4.2434,2003.4291,"GB->BY"
"GF->BY",0,6.155,8947.8843,"GF->BY"
"GR->BY",0,4.9546,1770.9175,"GR->BY"
"HK->BY",0,7.9123,7761.0024,"HK->BY"
"ID->BY",0,9.1509,10028.5479,"ID->BY"
"IN->BY",0,6.4977,5681.0813,"IN->BY"
"IS->BY",0,6.2582,3017.116,"IS->BY"
"IT->BY",0,3.7217,1716.0154,"IT->BY"
"JP->BY",0,7.3563,7885.9515,"JP->BY"
"KH->BY",0,9.0263,7996.6747,"KH->BY"
"KR->BY",0,6.8207,7459.4462,"KR->BY"
"LA->BY",0,8.6862,7396.5091,"LA->BY"
"LK->BY",0,7.2504,6948.9212,"LK->BY"
"LV->BY",0,4.3373,423.2439,"LV->BY"
"MD->BY",0,5.3452,775.7305,"MD->BY"
"MM->BY",0,8.6113,6773.9732,"MM->BY"
"MY->BY",0,8.0964,8971.497,"MY->BY"
"NL->BY",0,6.1433,1555.4855,"NL->BY"
"NO->BY",0,6.0732,1424.7874,"NO->BY"
"NP->BY",0,8.4991,5441.5918,"NP->BY"
"NZ->BY",0,9.2929,17110.0912,"NZ->BY"
"PE->BY",0,8.2006,11742.2852,"PE->BY"
"PH->BY",0,9.8282,9393.8503,"PH->BY"
"PT->BY",0,5.6888,3770.3798,"PT->BY"
"PY->BY",0,8.3845,11971.1818,"PY->BY"
"RO->BY",0,5.7915,978.5694,"RO->BY"
"RS->BY",0,5.7503,1252.9245,"RS->BY"
"SE->BY",0,5.7366,961.0055,"SE->BY"
"SG->BY",0,7.3279,8972.3754,"SG->BY"
"TH->BY",0,7.0433,7676.0257,"TH->BY"
"TW->BY",0,9.1779,8047.7868,"TW->BY"
"UA->BY",0,4.6711,709.513,"UA->BY"
"US->BY",1,5.9411,8460.1767,"US->BY"
