"","Transitions","subsetDgeo","subsetDeff","Transition_Rates","Ori_Pop_Size","Dest_Pop_Size","Key"
"PY->AT",0,10790.3754,7.7664,0.0342196885666238,6382000,8451860,"PY->AT"
"RO->AT",0,811.7176,3.4234,0.0342196885666238,19043000,8451860,"RO->AT"
"RS->AT",0,662.6329,3.4588,0.0342196885666238,7120000,8451860,"RS->AT"
"SE->AT",0,1385.726,4.8548,0.0342196885666238,9490000,8451860,"SE->AT"
"SG->AT",0,9886.3602,6.3182,0.0342196885666238,5184000,8451860,"SG->AT"
"TH->AT",0,8656.2744,5.0652,0.0342196885666238,65500000,8451860,"TH->AT"
"TW->AT",0,9218.0863,6.9001,0.0342196885666238,23293593,8451860,"TW->AT"
"UA->AT",0,1336.5757,3.4237,0.0342196885666238,45426000,8451860,"UA->AT"
"US->AT",0,8237.7816,5.062,0.0342196885666238,3.17e+08,8451860,"US->AT"
"UY->AT",0,11480.4146,8.2056,0.0342196885666238,3251000,8451860,"UY->AT"
"VE->AT",0,8470.3857,6.5365,0.0342196885666238,27150000,8451860,"VE->AT"
"VN->AT",0,9010.623,7.8647,0.0342196885666238,87840000,8451860,"VN->AT"
"AL->AU",0,14725.179,9.0629,0.0342196885666238,2832000,22902000,"AL->AU"
"AR->AU",2,12070.2132,6.6693,0.0342196885666238,40117000,22902000,"AR->AU"
"AT->AU",0,15137.4859,7.9105,0.0342196885666238,8451860,22902000,"AT->AU"
"BD->AU",1,7979.9915,5.9576,0.0342196885666238,142319000,22902000,"BD->AU"
"BG->AU",0,14198.268,9.0561,0.0342196885666238,7284000,22902000,"BG->AU"
"BO->AU",0,14113.7255,6.4861,0.0342196885666238,10624000,22902000,"BO->AU"
"BR->AU",0,14988.366,6.0078,0.0342196885666238,192400000,22902000,"BR->AU"
"BY->AU",0,14104.5074,9.4517,0.0342196885666238,9460000,22902000,"BY->AU"
"CA->AU",0,14514.2692,4.8611,0.0342196885666238,3.5e+07,22902000,"CA->AU"
"CH->AU",0,15624.4954,7.4607,0.0342196885666238,7952000,22902000,"CH->AU"
"CL->AU",0,12370.7626,5.9326,0.0342196885666238,17402000,22902000,"CL->AU"
"CN->AU",6,7390.8749,4.2433,0.0342196885666238,1347350000,22902000,"CN->AU"
"CO->AU",0,15406.305,5.6071,0.0342196885666238,47015000,22902000,"CO->AU"
"DE->AU",0,15374.9131,6.6636,0.0342196885666238,80500000,22902000,"DE->AU"
"DK->AU",0,15162.169,7.814,0.0342196885666238,5580000,22902000,"DK->AU"
"EC->AU",0,14438.8163,5.6824,0.0342196885666238,14483000,22902000,"EC->AU"
"ES->AU",1,16849.126,8.0283,0.0342196885666238,46185000,22902000,"ES->AU"
"FI->AU",0,14190.9481,8.0626,0.0342196885666238,5408000,22902000,"FI->AU"
"FJ->AU",0,3690.8806,1.8551,0.0342196885666238,861000,22902000,"FJ->AU"
"FR->AU",0,15994.8199,6.777,0.0342196885666238,65350000,22902000,"FR->AU"
"GB->AU",2,16056.1655,6.0581,0.0342196885666238,62262000,22902000,"GB->AU"
"GF->AU",0,16972.6389,8.4658,0.0342196885666238,224000,22902000,"GF->AU"
"GR->AU",0,14228.3696,8.2046,0.0342196885666238,10787000,22902000,"GR->AU"
"HK->AU",5,6407.9869,3.1412,0.0342196885666238,7103000,22902000,"HK->AU"
"ID->AU",0,4142.0196,3.3562,0.0342196885666238,237641000,22902000,"ID->AU"
"IN->AU",0,8707.5556,5.1873,0.0342196885666238,1210570000,22902000,"IN->AU"
"IS->AU",0,15886.6066,5.9683,0.0342196885666238,320000,22902000,"IS->AU"
"IT->AU",0,15356.1283,7.4001,0.0342196885666238,59464000,22902000,"IT->AU"
"JP->AU",5,7138.5183,3.2973,0.0342196885666238,127300000,22902000,"JP->AU"
"KH->AU",1,6133.8476,5.3192,0.0342196885666238,13396000,22902000,"KH->AU"
"KR->AU",1,7260.1002,4.3827,0.0342196885666238,48580000,22902000,"KR->AU"
"LA->AU",0,6716.5197,4.9791,0.0342196885666238,6256000,22902000,"LA->AU"
"LK->AU",1,7819.8612,5.3632,0.0342196885666238,20653000,22902000,"LK->AU"
"LV->AU",0,14331.7926,8.864,0.0342196885666238,2070000,22902000,"LV->AU"
"MD->AU",0,14024.2965,10.249,0.0342196885666238,3560000,22902000,"MD->AU"
"MM->AU",0,7368.0982,4.9042,0.0342196885666238,47963000,22902000,"MM->AU"
"MY->AU",2,5187.6315,3.0666,0.0342196885666238,30017000,22902000,"MY->AU"
"NL->AU",1,15658.8414,6.6311,0.0342196885666238,16838000,22902000,"NL->AU"
"NO->AU",0,14837.0348,8.729,0.0342196885666238,5009000,22902000,"NO->AU"
"NP->AU",1,8726.7421,6.1203,0.0342196885666238,26621000,22902000,"NP->AU"
"NZ->AU",8,3125.5573,1.3501,0.0342196885666238,4434000,22902000,"NZ->AU"
"PE->AU",0,14156.4612,5.7701,0.0342196885666238,30135000,22902000,"PE->AU"
"PH->AU",0,4786.6815,4.8163,0.0342196885666238,92340000,22902000,"PH->AU"
"PT->AU",0,17781.5965,8.0944,0.0342196885666238,10487000,22902000,"PT->AU"
"PY->AU",0,13706.404,7.852,0.0342196885666238,6382000,22902000,"PY->AU"
"RO->AU",0,14371.7611,9.667,0.0342196885666238,19043000,22902000,"RO->AU"
"RS->AU",0,14653.4363,9.1532,0.0342196885666238,7120000,22902000,"RS->AU"
"SE->AU",0,14681.257,8.1254,0.0342196885666238,9490000,22902000,"SE->AU"
"SG->AU",0,5293.6127,2.1994,0.0342196885666238,5184000,22902000,"SG->AU"
"TH->AU",1,6482.1362,3.3362,0.0342196885666238,65500000,22902000,"TH->AU"
"TW->AU",0,6249.8473,4.9371,0.0342196885666238,23293593,22902000,"TW->AU"
"UA->AU",1,13801.2726,8.5639,0.0342196885666238,45426000,22902000,"UA->AU"
"US->AU",13,14522.9041,3.5106,0.0342196885666238,3.17e+08,22902000,"US->AU"
"UY->AU",0,12764.0196,8.0548,0.0342196885666238,3251000,22902000,"UY->AU"
"VE->AU",0,16365.7236,5.7772,0.0342196885666238,27150000,22902000,"VE->AU"
"VN->AU",3,6149.2036,4.5338,0.0342196885666238,87840000,22902000,"VN->AU"
"AL->BD",0,6806.2797,8.2265,0.0342196885666238,2832000,142319000,"AL->BD"
"AR->BD",0,17287.2572,9.6163,0.0342196885666238,40117000,142319000,"AR->BD"
"AT->BD",0,7157.5044,7.545,0.0342196885666238,8451860,142319000,"AT->BD"
"AU->BD",1,7979.9915,5.9576,0.0342196885666238,22902000,142319000,"AU->BD"
"BG->BD",0,6256.5065,7.8005,0.0342196885666238,7284000,142319000,"BG->BD"
"BO->BD",0,17539.1723,10.0187,0.0342196885666238,10624000,142319000,"BO->BD"
"BR->BD",0,15581.7036,8.8765,0.0342196885666238,192400000,142319000,"BR->BD"
"BY->BD",0,6172.7166,8.7392,0.0342196885666238,9460000,142319000,"BY->BD"
"CA->BD",0,11889.8523,7.8074,0.0342196885666238,3.5e+07,142319000,"CA->BD"
"CH->BD",0,7644.504,7.1651,0.0342196885666238,7952000,142319000,"CH->BD"
"CL->BD",1,18041.0928,10.1127,0.0342196885666238,17402000,142319000,"CL->BD"
