"","Transitions","subsetDeff","subsetDgeo","Ori_Pop_Size","Dest_Pop_Size","Key"
"AT->AU",1,7.9105,15137.4859,8451860,22902000,"AT->AU"
"BD->AU",1,5.9576,7979.9915,142319000,22902000,"BD->AU"
"BG->AU",0,9.0561,14198.268,7284000,22902000,"BG->AU"
"BO->AU",0,6.4861,14113.7255,10624000,22902000,"BO->AU"
"BR->AU",0,6.0078,14988.366,192400000,22902000,"BR->AU"
"BY->AU",0,9.4517,14104.5074,9460000,22902000,"BY->AU"
"CA->AU",0,4.8611,14514.2692,3.5e+07,22902000,"CA->AU"
"CH->AU",0,7.4607,15624.4954,7952000,22902000,"CH->AU"
"CL->AU",0,5.9326,12370.7626,17402000,22902000,"CL->AU"
"CN->AU",8,4.2433,7390.8749,1347350000,22902000,"CN->AU"
"CO->AU",0,5.6071,15406.305,47015000,22902000,"CO->AU"
"DE->AU",0,6.6636,15374.9131,80500000,22902000,"DE->AU"
"DK->AU",0,7.814,15162.169,5580000,22902000,"DK->AU"
"EC->AU",0,5.6824,14438.8163,14483000,22902000,"EC->AU"
"ES->AU",0,8.0283,16849.126,46185000,22902000,"ES->AU"
"FI->AU",0,8.0626,14190.9481,5408000,22902000,"FI->AU"
"FJ->AU",0,1.8551,3690.8806,861000,22902000,"FJ->AU"
"FR->AU",1,6.777,15994.8199,65350000,22902000,"FR->AU"
"GB->AU",0,6.0581,16056.1655,62262000,22902000,"GB->AU"
"GF->AU",0,8.4658,16972.6389,224000,22902000,"GF->AU"
"GR->AU",0,8.2046,14228.3696,10787000,22902000,"GR->AU"
"HK->AU",5,3.1412,6407.9869,7103000,22902000,"HK->AU"
"ID->AU",0,3.3562,4142.0196,237641000,22902000,"ID->AU"
"IN->AU",0,5.1873,8707.5556,1210570000,22902000,"IN->AU"
"IS->AU",0,5.9683,15886.6066,320000,22902000,"IS->AU"
"IT->AU",0,7.4001,15356.1283,59464000,22902000,"IT->AU"
"JP->AU",4,3.2973,7138.5183,127300000,22902000,"JP->AU"
"KH->AU",1,5.3192,6133.8476,13396000,22902000,"KH->AU"
"KR->AU",2,4.3827,7260.1002,48580000,22902000,"KR->AU"
"LA->AU",0,4.9791,6716.5197,6256000,22902000,"LA->AU"
"LK->AU",1,5.3632,7819.8612,20653000,22902000,"LK->AU"
"LV->AU",0,8.864,14331.7926,2070000,22902000,"LV->AU"
"MD->AU",0,10.249,14024.2965,3560000,22902000,"MD->AU"
"MM->AU",0,4.9042,7368.0982,47963000,22902000,"MM->AU"
"MY->AU",2,3.0666,5187.6315,30017000,22902000,"MY->AU"
"NL->AU",0,6.6311,15658.8414,16838000,22902000,"NL->AU"
"NO->AU",0,8.729,14837.0348,5009000,22902000,"NO->AU"
"NP->AU",0,6.1203,8726.7421,26621000,22902000,"NP->AU"
"NZ->AU",6,1.3501,3125.5573,4434000,22902000,"NZ->AU"
"PE->AU",0,5.7701,14156.4612,30135000,22902000,"PE->AU"
"PH->AU",0,4.8163,4786.6815,92340000,22902000,"PH->AU"
"PT->AU",0,8.0944,17781.5965,10487000,22902000,"PT->AU"
"PY->AU",0,7.852,13706.404,6382000,22902000,"PY->AU"
"RO->AU",0,9.667,14371.7611,19043000,22902000,"RO->AU"
"RS->AU",0,9.1532,14653.4363,7120000,22902000,"RS->AU"
"SE->AU",0,8.1254,14681.257,9490000,22902000,"SE->AU"
"SG->AU",0,2.1994,5293.6127,5184000,22902000,"SG->AU"
"TH->AU",0,3.3362,6482.1362,65500000,22902000,"TH->AU"
"TW->AU",0,4.9371,6249.8473,23293593,22902000,"TW->AU"
"UA->AU",0,8.5639,13801.2726,45426000,22902000,"UA->AU"
"US->AU",9,3.5106,14522.9041,3.17e+08,22902000,"US->AU"
"UY->AU",0,8.0548,12764.0196,3251000,22902000,"UY->AU"
"VE->AU",0,5.7772,16365.7236,27150000,22902000,"VE->AU"
"VN->AU",2,4.5338,6149.2036,87840000,22902000,"VN->AU"
"AL->BD",0,8.2265,6806.2797,2832000,142319000,"AL->BD"
"AR->BD",0,9.6163,17287.2572,40117000,142319000,"AR->BD"
"AT->BD",2,7.545,7157.5044,8451860,142319000,"AT->BD"
"AU->BD",2,5.9576,7979.9915,22902000,142319000,"AU->BD"
"BG->BD",0,7.8005,6256.5065,7284000,142319000,"BG->BD"
"BO->BD",0,10.0187,17539.1723,10624000,142319000,"BO->BD"
"BR->BD",0,8.8765,15581.7036,192400000,142319000,"BR->BD"
"BY->BD",0,8.7392,6172.7166,9460000,142319000,"BY->BD"
"CA->BD",0,7.8074,11889.8523,3.5e+07,142319000,"CA->BD"
"CH->BD",0,7.1651,7644.504,7952000,142319000,"CH->BD"
"CL->BD",1,10.1127,18041.0928,17402000,142319000,"CL->BD"
"CN->BD",0,5.2583,2205.8247,1347350000,142319000,"CN->BD"
"CO->BD",0,9.1397,16231.3745,47015000,142319000,"CO->BD"
"DE->BD",0,6.5916,7417.498,80500000,142319000,"DE->BD"
"DK->BD",0,7.5184,7298.7897,5580000,142319000,"DK->BD"
"EC->BD",0,9.215,17374.1317,14483000,142319000,"EC->BD"
"ES->BD",0,6.466,8931.8311,46185000,142319000,"ES->BD"
"FI->BD",0,7.9591,6514.1126,5408000,142319000,"FI->BD"
"FJ->BD",0,7.8127,10411.6945,861000,142319000,"FJ->BD"
"FR->BD",0,6.766,8015.3665,65350000,142319000,"FR->BD"
"GB->BD",0,4.4957,8174.2177,62262000,142319000,"GB->BD"
"GF->BD",0,8.4549,14970.4272,224000,142319000,"GF->BD"
"GR->BD",0,7.6238,6387.7604,10787000,142319000,"GR->BD"
"HK->BD",0,4.171,2311.2914,7103000,142319000,"HK->BD"
"ID->BD",0,5.5181,3858.2231,237641000,142319000,"ID->BD"
"IN->BD",1,3.0314,1263.1078,1210570000,142319000,"IN->BD"
"IS->BD",0,6.9265,8743.1947,320000,142319000,"IS->BD"
"IT->BD",0,6.5638,7409.6629,59464000,142319000,"IT->BD"
"JP->BD",2,6.1882,4456.0317,127300000,142319000,"JP->BD"
"KH->BD",0,5.2365,1849.3685,13396000,142319000,"KH->BD"
"KR->BD",0,6.5186,3746.4901,48580000,142319000,"KR->BD"
"LA->BD",0,4.8965,1324.8438,6256000,142319000,"LA->BD"
"LK->BD",0,5.2108,2204.2895,20653000,142319000,"LK->BD"
"LV->BD",0,7.3016,6461.8706,2070000,142319000,"LV->BD"
