"","Transitions","Pig_farms_distances","Transition_Rates","Key"
"Linyi1->Nanning",0,1670.382,0.0394609040089993,"Linyi1->Nanning"
"Suzhou->Nanning",0,1480.635,0.0394609040089993,"Suzhou->Nanning"
"Linyi2->Nanning",0,1637.38,0.0394609040089993,"Linyi2->Nanning"
"Suqian->Nanning",0,1532.471,0.0394609040089993,"Suqian->Nanning"
"Chuzhou->Nanning",1,1372.214,0.0394609040089993,"Chuzhou->Nanning"
"Guangzhou->Suqian",0,1274.178,0.0394609040089993,"Guangzhou->Suqian"
"Sanmenxia->Suqian",0,665.886,0.0394609040089993,"Sanmenxia->Suqian"
"Luohe->Suqian",0,401.795,0.0394609040089993,"Luohe->Suqian"
"Xinxiang->Suqian",0,442.044,0.0394609040089993,"Xinxiang->Suqian"
"Linyi1->Suqian",0,143.653,0.0394609040089993,"Linyi1->Suqian"
"Suzhou->Suqian",0,126.506,0.0394609040089993,"Suzhou->Suqian"
"Linyi2->Suqian",0,110.945,0.0394609040089993,"Linyi2->Suqian"
"Nanning->Suqian",0,1532.471,0.0394609040089993,"Nanning->Suqian"
"Chuzhou->Suqian",1,207.927,0.0394609040089993,"Chuzhou->Suqian"
"Guangzhou->Chuzhou",0,1087.105,0.0394609040089993,"Guangzhou->Chuzhou"
"Sanmenxia->Chuzhou",0,727.099,0.0394609040089993,"Sanmenxia->Chuzhou"
"Luohe->Chuzhou",0,447.732,0.0394609040089993,"Luohe->Chuzhou"
"Xinxiang->Chuzhou",0,557.588,0.0394609040089993,"Xinxiang->Chuzhou"
"Linyi1->Chuzhou",0,346.363,0.0394609040089993,"Linyi1->Chuzhou"
"Suzhou->Chuzhou",0,262.77,0.0394609040089993,"Suzhou->Chuzhou"
"Linyi2->Chuzhou",0,315.527,0.0394609040089993,"Linyi2->Chuzhou"
"Nanning->Chuzhou",0,1372.214,0.0394609040089993,"Nanning->Chuzhou"
"Suqian->Chuzhou",0,207.927,0.0394609040089993,"Suqian->Chuzhou"
